id,value
CLIENTE,
CLIENTE.DEPENDIENTE_CLIENTE,
CLIENTE.DEPENDIENTE_CLIENTE.LEGENDARIO,6805
CLIENTE.DEPENDIENTE_CLIENTE.RESTO,273643
CLIENTE.DEPENDIENTE_CLIENTE.POWER,60579
CLIENTE.DEPENDIENTE_CLIENTE.PULPIN,7915
CLIENTE.DEPENDIENTE_CLIENTE.SENIOR,609
CLIENTE.INDEPENDIENTE_CLIENTE,
CLIENTE.INDEPENDIENTE_CLIENTE.RESTO,86610
CLIENTE.INDEPENDIENTE_CLIENTE.POWER,8134
CLIENTE.INDEPENDIENTE_CLIENTE.PULPIN,2768
CLIENTE.PNN_CLIENTE,
CLIENTE.PNN_CLIENTE.RESTO,13607
CLIENTE.PNN_CLIENTE.POWER,353
CLIENTE.PNN_CLIENTE.PULPIN,292
CLIENTE.NO_RECONOCIDO_CLIENTE,
CLIENTE.NO_RECONOCIDO_CLIENTE.RESTO,48443
CLIENTE.NO_RECONOCIDO_CLIENTE.POWER,1778
CLIENTE.NO_RECONOCIDO_CLIENTE.PULPIN,1051
CLIENTE.NO_RECONOCIDO_CLIENTE.RESTO,467001
